screen_name,name,location,created
Geo_marx1,George_o,"South East,Nigeria",2020-11-20
CFCChronicle,Chelsea Chronicle,"London, England",2020-11-20
Anas_danmallik,Costtrouble,NG,2020-11-20
yoruba_boy10,king_Prime,IBADAN ,2020-11-20
bubblegum_fact,bubblegum factory,,2020-11-20
United_Webby,Darren Webb,godscountry ,2020-11-20
YannieHuhubels,Dianne Pagarigan 🌈,"Davao City, Philippines ",2020-11-20
manutdnewsonly,Man Utd Fans,,2020-11-20
ManUtdFanKe,manchester united  fans🇰🇪,"Nairobi, Kenya",2020-11-20
matchdaymemory,Matchday Memory #LookingBack,Wylye Valley,2020-11-20
Dangold95,Ogbeidedaniel,Nigeria,2020-11-20
MForeverunited,manchesterunited_foreverunited,Mumbai ,2020-11-20
xMalebox,Malebo,Delta V - Central Station - W0,2020-11-20
ChrystianTeh,Chrystian Teh 郑定峰 ,"Selangor, Malaysia",2020-11-20
quality_canvas,Quality Canvas Print,,2020-11-20
MomoAli786,Muhammad Ali,,2020-11-20
manutddn,Manchester United DN (daily news),,2020-11-20
Aceyryan,Ryan Lister,"London, England",2020-11-20
StevieKay20,Stevie Kay,"Salford, England",2020-11-20
MancNeonBall,Manchester Neon Gala Ball,"Manchester, England",2020-11-20
ThomasCursley,Thomas Cursley,"Barnet, London",2020-11-20
UtdBeforFergie,🇾🇪Utd Before Fergie🇾🇪,Somewhere in the 70s and 80s,2020-11-20
rickypatel26,Ricky,,2020-11-20
abjeg,khalid abjeg,maroc,2020-11-20
kwinews1,kwinews,,2020-11-20
JoelBBCAN,Joel Lefevre,"British Columbia, Canada",2020-11-20
manchestergriff,ManchesterNews.com,"Manchester, United Kingdom",2020-11-20
Womens_FC,Women's Football Club,Worldwide ,2020-11-20
Alber,mISQ,,2020-11-20
NotInSeddon,Gracie’sDad,Cheshire,2020-11-20
kwinews112,Rdvls,Cbn estate satallite ,2020-11-20
Stefano4118899,pєԀяo zєє™,Nevada ,2020-11-20
livescore,LiveScore,URL,2020-11-20
ClairClair211,CC,"England, United Kingdom",2020-11-20
Soccerwriter,Michael Lewis,@soccerwriter,2020-11-20
vw78bay,Rob Williams,,2020-11-20
FootyKeyrings,SD,,2020-11-20
LondonsFinestQU,London's Finest,,2020-11-20
Sir_kay__,Kay0d3,Canada in Jesus Name,2020-11-20
Werder_RT,Werder RT,Bremen,2020-11-20
WhatNathSaid,Eat. Sleep. Sanitize. Repeat.,,2020-11-20
_Respe,Ryan Espinoza,,2020-11-20
TheodoreMsibi,Caged Bird 🇿🇦🇨🇩,"Johannesburg, South Africa",2020-11-20
robl247,🔰Salford Red 🔰,"Salford, England",2020-11-20
NicwMUFC,Nicw MUFC 🇾🇪,,2020-11-20
Benchd15,Bench'd,,2020-11-20
GdDavie,falkirk till I die,"Falkirk, Scotland",2020-11-20
unitedtony99,Tony Marshall,Manchester,2020-11-20
rastgar_ehsan,احسان رستگار (صفحه کمکی),Islamic Republic of Iran,2020-11-20
princetora,Prince Stephens,,2020-11-20
MrBryanDavies,Bryan,,2020-11-20
DSimbayi,"Mr Simbayi 🥰🎶,📸🇿🇲🇧🇼",Rich Broke ,2020-11-20
Paris_20Times,Paris_20,,2020-11-20
ManUtdCorner7,Man Utd Corner,,2020-11-20
PadraicToolan,Padraic Toolan," Based in Dublin, Ireland",2020-11-20
welshford32,MUFC.LINFIELD.GERS.,Northern Ireland. UK,2020-11-20
manojprasath94,Manoj Prasath,Sri Lanka,2020-11-20
DonnysOnDeBeek,🇾🇪,"Manchester, England",2020-11-20
ScottHaydock82,Scott Haydock,"Manchester, England",2020-11-20
MUFC_STEEZ,MUFC_STEEZ 🔰🇾🇪,,2020-11-20
scorpion1511s,President Elect Scorpion1511s,,2020-11-20
ItsYouJuan8,Amy," Clare, Ireland ",2020-11-20
becksmufc7,KELLSMUFC7,,2020-11-20
phuckingphysic,anishpande,,2020-11-20
BAKETHEBEST,MICHAEL BURGESS,ainsdale,2020-11-20
K_Stand_Red,Mr Mystery,ЯЗРЦБLIК ФF МДИСЦИIД,2020-11-20
bapj53,barry johnston,,2020-11-20
LuqueGiron,Juan Luque Girón,,2020-11-20
adelutu,Adel Al Shemary,Manchester United,2020-11-20
MarySheDevilUtd,Mary,,2020-11-20
ChelseaPuzzles,ChelseaPuzzles,SW6 1HS,2020-11-20
AbiolaMelody,Melody,,2020-11-20
DeadlyStamford,Deadly⭐⭐,Stamford Bridge,2020-11-20
sentry_guy,Seyi,Lagos Nigeria,2020-11-20
AHHBOT,ROBOT LOSC,,2020-11-20
AcquasiB,Havertz Jnr,Aprade,2020-11-20
kolagoke20,Kolade Olashile Olagoke,Ikotun,2020-11-20
Michaelola4527,Michael ola,"Ibadan, Nigeria",2020-11-20
harkhin_khunmi,Oloyede Akinkunmi Simeon,Nigeria,2020-11-20
thekay007,Kay,,2020-11-20
nanaadjei_LY,Bhra LARYEA,"Accra, Ghana",2020-11-20
Ifeoluwa_duth,Ifeoluwa,Nigeria,2020-11-20
ibrahimtune,chelseablood,,2020-11-20
Real_DMacheda,Darlington Macheda™,Mind Your Business,2020-11-20
AlMaskary,✪ محمد المسكري, ,2020-11-20
ojo_ahmed,Anikulapo Coochie 🇦🇶🦍,IYH,2020-11-20
marule00,Luka Markovic,,2020-11-20
aasszznnee,Asznee,,2020-11-20
AylesfordInt,AylesfordInt,"London, England",2020-11-20
Turbo__Timo,Timo,"Lagos, Nigeria",2020-11-20
otee_smlz,NIGERIA BLEEDS #ENDSARS,Stoneville🌿🏔 🌿,2020-11-20
king_slider,Don Dada👑,"Lagos, Nigeria",2020-11-20
Sethakande,Mr seth-skeng shelby,,2020-11-20
RomansEmpirePod,Roman's Empire Pod,"Los Angeles, CA",2020-11-20
stamford_bridge,History of ChelseaFC,London SW6,2020-11-20
benzeema007,#SARSMUSTEND✊✊,"Yenagoa, Nigeria",2020-11-20
fluentmediag,Raul Mateu,,2020-11-20
jamesne60235676,james newton,,2020-11-20
james_candour,LIBERATION,"Lagos, Nigeria",2020-11-20
flyingeze,Flying Eze,,2020-11-20
rebeccawalshol2,rebecca 💙💙💙💙 🎄🎄,"Mayo, Ireland",2020-11-20
LoyalFootballCo,Loyal Football Co.,Australia,2020-11-20
Alhassa83518932,Abdul JNR POGBA💓🙌,"Upper West, Ghana",2020-11-20
hasan01mahmud1,Hasan01Mahmud,"Dhaka,Bangladesh",2020-11-20
TurksonCee,Cee Turkson,"Accra, Ghana",2020-11-20
Papylo9,Papylo,,2020-11-20
highhavertz,ajinkya rahane apologist,,2020-11-20
krisho1980,KRISHAN ODEDRA,,2020-11-20
chivomapius,WelBeast,Everywhere,2020-11-20
CfcEesa,Eesa Hussain,United Kingdom,2020-11-20
kengel_13,Daniel,Nigeria,2020-11-20
jacobeshun2,jacobeshun,western region.Bogoso,2020-11-20
Ran95926198,Ran 0532439154,,2020-11-20
johncarley1966,John Carley,Wembley Middlesex. ,2020-11-20
AdekoyaAdeniy16,Adekoya Adeniyi,,2020-11-20
batsflip,Maxime,,2020-11-20
CFCValentine,Valentine Miller,"Harare, Zimbabwe",2020-11-20
AbsoluteChelsea,Absolute Chelsea,,2020-11-20
The_wordsmith10,BENGAZY👑,"Kasoa, Ghana",2020-11-20
YusufJiyah,wambai¹,konoha♌,2020-11-20
ElChapo099,PULISIC’S BOOTS 🔥💙🚀,Ghana,2020-11-20
shaneneils1,Mr. Skeng🏝⚡,,2020-11-20
theAsianBlue,The Asian Blue 💙,Opinions Are My Own,2020-11-20
Dan0532439154,جيك مساج الرياض,,2020-11-20
nsarko_2131,uncle nsarko,traveller ,2020-11-20
Kwa_bena18,The boy 👦,"Kasoa, Ghana",2020-11-20
KelvinExcel4,Kelvin Excel,"Nairobi, Kenya",2020-11-20
big_bentweet,big_ben,,2020-11-20
uchee_fia,uche,"Lagos, Nigeria",2020-11-20
GriffithPallett,Griff-Pall,,2020-11-20
Chilo617,Isidro Moreno,,2020-11-20
thepawnbroker1,Phil O'Brien,,2020-11-20
BrewBalcony,BalconyBrewReview,,2020-11-20
GeemChelseaFC,Hageem_10,,2020-11-20
fan_cornell,CornellHockeyFan,"Wynantskill, NY",2020-11-20
PaulMBanks,Socially Distant Paul M Banks,"Gold Coast, Chicago, IL, USA",2020-11-20
footywatching,Sports,,2020-11-20
woofeyz,ติ๊นู่ม 💙🌈,Chelsea💙,2020-11-20
TheChelseaSpot,The Chelsea Spot,Stamford Bridge,2020-11-20
habibmohammed09,HABIB A.MOHAMMED,Ghana,2020-11-20
adieujeunesse,* NOT granger's boyfriend,please read carrd ! ,2020-11-20
droplets14,augustine💧,,2020-11-20
NNPremierLeague,Premier League News Now,,2020-11-20
Bobbybe61302993,Prestige,Nigeria ,2020-11-20
habeeb_adesina,olardimeji__ˢᵀ🔱🦁😈,"Ogun, Nigeria",2020-11-20
ryantaylor_99,RT,"Edinburgh, Scotland",2020-11-20
ParmeshSriv,Parmeshwar Srivastava,"Mumbai, India",2020-11-20
NycJuventus,Juventus Fans NYC,,2020-11-20
InterClubIndia,Inter Club India 🇮🇳,India,2020-11-20
A1_football_,A1 Football,London,2020-11-20
khudor_80,khudor dayekh,,2020-11-20
FM__Addict,Football Manager Addict,England,2020-11-20
DanielTHFC__,Daniel,,2020-11-20
DeanPeachey,Dean Peachey,,2020-11-20
ArunSJ_,Chancellor of Christmas Music- Arun 🎄✊🏾,,2020-11-20
ForbiddenShirts,Forbidden Football Shirts 👕,"Norwich, UK",2020-11-20
HoltHarlequin56,Glenn Marvell James,"Norwich, England",2020-11-20
grecian1901,Grecian1901,Exeter,2020-11-20
Ceraunavolta6,#FinoAllaFine Bella Ciao ✊,,2020-11-20
cheaptrikot_,CheapTrikot,,2020-11-20
VBoncompagni,Vittorio Boncompagni,,2020-11-20
_luke1878_,luke,Birkenhead,2020-11-20
_mattiaferraro_,Mattia Ferraro,Italy,2020-11-20
DeckoAFC,Decko🇮🇪🔴⚪️(Boycott PPV),Lost exactly None,2020-11-20
mark_osifo,dbigmark2®,Life!!!,2020-11-20
jerseys_jays,Jays Jerseys,Northern Ireland,2020-11-20
F_ShirtTrader,Football Shirt Trader,United Kingdom,2020-11-20
JensenArmour,Jensen Armour™,London,2020-11-20
CundariVeronica,Veronica Cundari,"Rome, Lazio",2020-11-20
footballitalia,footballitalia,,2020-11-20
DearSport_,Dear Sport,"Roma, Lazio",2020-11-20
MarcelloChirico,Marcello Chirico,Italia,2020-11-20
DrJoeMcCarthy,Dr J,Earth. 3rd Planet from Sun. ,2020-11-20
BenHarrisonnnn,Benjamin Harrison.,,2020-11-20
Wymer_7,Wymer 🔰,Rotherham,2020-11-20
FootTheBall,FootTheBall,Locker Room,2020-11-20
tinocellupica,Valentino,Cardiff,2020-11-20
FootyKitMarket,Football Kit Market,"Nottingham, England",2020-11-20
nreduwu,nRed,"Knoxville, TN",2020-11-20
StripesTBP,Stripes The Bianconeri Podcast,,2020-11-20
Dope_Akeem,Shoyemi Adediran Akeem,WorldWide...,2020-11-20
omomani,Omar Momani,"Amman, Hashemite Kingdom of Jo",2020-11-20
shirts_arsenal,Arsenal Shirts,,2020-11-20
RetrofootballF1,Retro football Fashion,,2020-11-20
VinceTacchi,Vince Tacchi,"New York, NY",2020-11-20
JuventusNation,Black & White & Read All Over,United States,2020-11-20
Footbal_Match,Football Everyday,,2020-11-20
mxhel_,mikey d,nc / fl,2020-11-20
AnthonyGeneral_,Greatness™,,2020-11-20
PatrickJDDodge,Patrick Dodge,Audere Est Facere,2020-11-20
Mohhameed19,☠️mohviperxx☠️,"Kaduna, Nigeria",2020-11-20
FM_Twittah,Football Memories,Italia,2020-11-20
IMechanisms,InjuryMechanisms,,2020-11-20
ObengDaniel93,Danny Obeng Boamah,sunyani  Area 4,2020-11-20
sport_spy,SpySportAgent,Spain,2020-11-20
jalzjlajeljeae,jalzjlajeljeae,,2020-11-20
SMLigue1,Sports Mole Ligue 1,,2020-11-20
WingWarpApp,WingWarp,"San Francisco, CA",2020-11-20
6ixSideCalcio,6ixSide Calcio,"Toronto, Ontario",2020-11-20
HenryOteri2,Henry Oteri Okeoghen,Nigeria,2020-11-20
Zhariqutd,Zhariq,Malaysia,2020-11-20
TAJGoat,TAJ (𝓐𝓿𝓲 𝓜𝓪𝓴𝓮𝓻/𝓔𝓭𝓲𝓽𝓸𝓻) ⭐⭐⭐⭐⭐,Party Spot (Old Trafford),2020-11-20
gaurab_kashyap,AxomiyaLORA,"Assam, India",2020-11-20
Michel_Calcio,Michel Sakr,"Beirut, Lebanon",2020-11-20
Transferzone10,Football Transfers,Global,2020-11-20
ebuoe,ebuka,"ÜT: 6.6068857,3.321811",2020-11-20
SportMobApp,SportMob,"Dubai, United Arab Emirates ❤",2020-11-20
PSG24hours,PSG en Direct 🌐,Parc des Princes,2020-11-20
BernaBaII,\,/|\,2020-11-20
Mankindoficiel,𝕄𝕧𝕟𝕜𝕟𝕕,La Mia Casa,2020-11-20
Anirban36724285,Anirban,,2020-11-20
DavidAmoyal,David Amoyal,"Boston, MA (via Padova,Italia)",2020-11-20
BW_Circles,BW Circles,,2020-11-20
ZekeTell,Zeke Tell,"New York, NY",2020-11-20
FootyHimmatt7,𝕳𝖎𝖒𝖒𝖆𝖙𝖙.,In a Galaxy Far Far Away...,2020-11-20
morenoAlmare,Moreno,Italia,2020-11-20
kupaleon,Six God,We Global,2020-11-20
sportshubita,SportsHub,,2020-11-20
