screen_name,name,location,created
ProsMarocains,Almarssadpro.com,Meknès - Maroc,2020-11-16
MKevmore,Infamous Villain.,"5.1417054,7.3321642,12",2020-11-16
Slyelaigwu1,Slyelaigwu,,2020-11-16
Real_DMacheda,Darlington Macheda™,Mind Your Business,2020-11-16
sanshui596,sandra smith,Shan Shui,2020-11-16
gurama_a,Dauda A Gurama,,2020-11-16
FootyKeyrings,SD,,2020-11-16
theAsianBlue,The Asian Blue 💙,Opinions Are My Own,2020-11-16
bence_bednar,Bence Bednár,Magyarország,2020-11-16
CFCFanVI,"Ramona, CFC Fan VI 💙",Beautiful British Columbia,2020-11-16
jigavybes,rhetorical,"Lagos, Nigeria",2020-11-16
ChelseaChadder,Chad,"MHL, Gate 9",2020-11-16
FFootballShirts,FFSFootballShirts,"Birmingham, England",2020-11-16
malumpfy,toby gilham,"London, England",2020-11-16
heathertanchuck,Heather Tanchuck,West Los Angeles,2020-11-16
Smyleen69,Nuru Deen,,2020-11-16
Chegzy_Jay,FC🎶❤️,"Ogun, Nigeria",2020-11-16
ryanleegregory,Ryan Lee Gregory,,2020-11-16
imploremeboss,Blueforever,"Sainte-Suzanne, La Réunion",2020-11-16
_kofiboakye,KB,"Accra, Ghana",2020-11-16
__ablizzy,𓆉,"Massachusetts, USA",2020-11-16
REP_Andres_,Andres,"Houston, TX",2020-11-16
shay_ovoos,Shay_ovoos,,2020-11-16
MadDaniels1,Mad Moody,"Bern, Switzerland",2020-11-16
salifu_halifa,Salifu Halifa,"Greater Accra, Ghana",2020-11-16
shaneneils1,Mr. Skeng🏝⚡,,2020-11-16
Kingfamousgh,FAMOUS GH👾,UEW -Kasoa boy,2020-11-16
jacobeshun2,jacobeshun,western region.Bogoso,2020-11-16
AnthonyC_Eri,Anthony Eri🇨🇦,Canada,2020-11-16
deejayrancho,ALUTA RANCHO 🔥🏅🇳🇬,,2020-11-16
tossin_O,Kaniel Outis,Nigeria,2020-11-16
HaydenKing02,Hayden King,,2020-11-16
matTemitope,Adekola Temitope mat,,2020-11-16
bI8des,blades,England,2020-11-16
Chelseaquiin,#EndSARS,In Christ ,2020-11-16
OllieGlanvill,Ollie Glanvill,London,2020-11-16
TheChelseaSpot,The Chelsea Spot,Stamford Bridge,2020-11-16
LondonsFinestS2,London's Finest Show Feed,,2020-11-16
austin4sports,austin4sports,London,2020-11-16
KitWEARHouse,KitWEARhouse,,2020-11-16
BigAppleSoccer,Big Apple Soccer,"ÜT: 40.839589,-73.122026",2020-11-16
iamtobiade,Akinola,Peegyn,2020-11-16
Habiola17750376,Habiola,Nigeria,2020-11-16
ManlikeDesire,Desire Ademiluyi,"Ilorin, Nigeria",2020-11-16
Oshiocee,Jay,,2020-11-16
DB_Fine_Art,Dean Borghi Fine Art,"529 West 20th Street, 6th Floor, New York, NY 10011",2020-11-16
iprecious59,Zuco ⚓️,"Owerri, Nigeria",2020-11-16
Geo_marx1,George_o,"South East,Nigeria",2020-11-16
CFCChronicle,Chelsea Chronicle,"London, England",2020-11-16
Anas_danmallik,Costtrouble,NG,2020-11-16
yoruba_boy10,king_Prime,IBADAN ,2020-11-16
Soccerwriter,Michael Lewis,@soccerwriter,2020-11-16
vw78bay,Rob Williams,,2020-11-16
LondonsFinestQU,London's Finest,,2020-11-16
Sir_kay__,Kay0d3,Canada in Jesus Name,2020-11-16
Werder_RT,Werder RT,Bremen,2020-11-16
ChelseaPuzzles,ChelseaPuzzles,SW6 1HS,2020-11-16
AbiolaMelody,Melody,,2020-11-16
DeadlyStamford,Deadly⭐⭐,Stamford Bridge,2020-11-16
sentry_guy,Seyi,Lagos Nigeria,2020-11-16
AHHBOT,ROBOT LOSC,,2020-11-16
AcquasiB,Havertz Jnr,Aprade,2020-11-16
kolagoke20,Kolade Olashile Olagoke,Ikotun,2020-11-16
Michaelola4527,Michael ola,"Ibadan, Nigeria",2020-11-16
harkhin_khunmi,Oloyede Akinkunmi Simeon,Nigeria,2020-11-16
thekay007,Kay,,2020-11-16
nanaadjei_LY,Bhra LARYEA,"Accra, Ghana",2020-11-16
